LSOA,CCG,stp,nhs_region,admissions
Croydon 006D,NHS Croydon CCG,South West London,London,3.09
Croydon 005D,NHS Croydon CCG,South West London,London,3.09
Croydon 006B,NHS Croydon CCG,South West London,London,0.34
Croydon 005B,NHS Croydon CCG,South West London,London,3.09
Croydon 010E,NHS Croydon CCG,South West London,London,4.46
Croydon 037F,NHS Croydon CCG,South West London,London,1.71
Croydon 042D,NHS Croydon CCG,South West London,London,2.74
Croydon 037D,NHS Croydon CCG,South West London,London,2.74
Croydon 040D,NHS Croydon CCG,South West London,London,0.69
Croydon 037E,NHS Croydon CCG,South West London,London,3.43
Croydon 037A,NHS Croydon CCG,South West London,London,1.37
Croydon 037B,NHS Croydon CCG,South West London,London,3.77
Croydon 037C,NHS Croydon CCG,South West London,London,0.34
Croydon 038B,NHS Croydon CCG,South West London,London,0.69
Croydon 038A,NHS Croydon CCG,South West London,London,2.06
Croydon 038E,NHS Croydon CCG,South West London,London,2.74
Croydon 040B,NHS Croydon CCG,South West London,London,2.74
Croydon 041D,NHS Croydon CCG,South West London,London,1.37
Croydon 041E,NHS Croydon CCG,South West London,London,1.03
Croydon 038C,NHS Croydon CCG,South West London,London,2.06
Croydon 042B,NHS Croydon CCG,South West London,London,1.37
Croydon 042C,NHS Croydon CCG,South West London,London,2.74
Croydon 042A,NHS Croydon CCG,South West London,London,2.06
Croydon 040A,NHS Croydon CCG,South West London,London,1.37
Croydon 040C,NHS Croydon CCG,South West London,London,1.71
Croydon 020A,NHS Croydon CCG,South West London,London,0
Croydon 020C,NHS Croydon CCG,South West London,London,0
Bexley 019F,NHS Bexley CCG,South East London,London,1.03
Bexley 026D,NHS Bexley CCG,South East London,London,2.4
Bexley 027F,NHS Bexley CCG,South East London,London,2.06
Bexley 027E,NHS Bexley CCG,South East London,London,1.37
Bexley 027A,NHS Bexley CCG,South East London,London,2.4
Bexley 027C,NHS Bexley CCG,South East London,London,2.4
Bexley 028A,NHS Bexley CCG,South East London,London,3.09
Bexley 028C,NHS Bexley CCG,South East London,London,2.06
Bexley 028D,NHS Bexley CCG,South East London,London,4.11
Bexley 028B,NHS Bexley CCG,South East London,London,2.74
Bexley 027D,NHS Bexley CCG,South East London,London,3.43
Bexley 027B,NHS Bexley CCG,South East London,London,2.74
Bexley 026C,NHS Bexley CCG,South East London,London,2.06
Bexley 019E,NHS Bexley CCG,South East London,London,3.09
Bexley 019B,NHS Bexley CCG,South East London,London,2.06
Bexley 019A,NHS Bexley CCG,South East London,London,1.37
Bexley 010D,NHS Bexley CCG,South East London,London,4.46
Bexley 019D,NHS Bexley CCG,South East London,London,2.4
Bexley 019C,NHS Bexley CCG,South East London,London,2.4
Bexley 026E,NHS Bexley CCG,South East London,London,4.8
Bexley 026A,NHS Bexley CCG,South East London,London,1.03
Bexley 026B,NHS Bexley CCG,South East London,London,1.71
Bexley 025D,NHS Bexley CCG,South East London,London,4.11
Bexley 025E,NHS Bexley CCG,South East London,London,2.4
Bexley 025A,NHS Bexley CCG,South East London,London,3.43
Bexley 025B,NHS Bexley CCG,South East London,London,3.09
Greenwich 030C,NHS Greenwich CCG,South East London,London,2.74
Bexley 022D,NHS Bexley CCG,South East London,London,1.37
Bexley 022B,NHS Bexley CCG,South East London,London,1.71
Bexley 022C,NHS Bexley CCG,South East London,London,2.06
Bexley 018A,NHS Bexley CCG,South East London,London,3.09
Bexley 022A,NHS Bexley CCG,South East London,London,4.46
Bexley 018F,NHS Bexley CCG,South East London,London,2.74
Bexley 022E,NHS Bexley CCG,South East London,London,2.74
Bexley 024E,NHS Bexley CCG,South East London,London,1.37
Bexley 021A,NHS Bexley CCG,South East London,London,0.69
Bexley 021C,NHS Bexley CCG,South East London,London,1.37
Bexley 021B,NHS Bexley CCG,South East London,London,1.71
Bexley 024A,NHS Bexley CCG,South East London,London,2.4
Bexley 021D,NHS Bexley CCG,South East London,London,2.74
Bexley 009E,NHS Bexley CCG,South East London,London,2.4
Bexley 009F,NHS Bexley CCG,South East London,London,1.37
Bexley 009G,NHS Bexley CCG,South East London,London,2.06
Bexley 013B,NHS Bexley CCG,South East London,London,0.34
Bexley 013E,NHS Bexley CCG,South East London,London,1.37
Bexley 013D,NHS Bexley CCG,South East London,London,1.71
Bexley 013C,NHS Bexley CCG,South East London,London,1.37
Bexley 020G,NHS Bexley CCG,South East London,London,0.69
Bexley 016B,NHS Bexley CCG,South East London,London,2.4
Bexley 015D,NHS Bexley CCG,South East London,London,0.69
Bexley 016A,NHS Bexley CCG,South East London,London,1.71
Bexley 021E,NHS Bexley CCG,South East London,London,2.74
Bexley 016E,NHS Bexley CCG,South East London,London,2.4
Bexley 016F,NHS Bexley CCG,South East London,London,0.69
Bexley 016C,NHS Bexley CCG,South East London,London,2.4
Bexley 016D,NHS Bexley CCG,South East London,London,2.06
Bexley 018D,NHS Bexley CCG,South East London,London,2.74
Bexley 018E,NHS Bexley CCG,South East London,London,1.71
Bexley 018C,NHS Bexley CCG,South East London,London,1.71
Bexley 018B,NHS Bexley CCG,South East London,London,1.71
Bexley 029D,NHS Bexley CCG,South East London,London,1.71
Bexley 013A,NHS Bexley CCG,South East London,London,3.77
Bexley 029C,NHS Bexley CCG,South East London,London,1.37
Bexley 029A,NHS Bexley CCG,South East London,London,1.37
Bexley 029B,NHS Bexley CCG,South East London,London,1.03
Bexley 003C,NHS Bexley CCG,South East London,London,0.69
Bexley 003E,NHS Bexley CCG,South East London,London,1.71
Bexley 003D,NHS Bexley CCG,South East London,London,1.71
Bexley 003A,NHS Bexley CCG,South East London,London,1.71
Bexley 006A,NHS Bexley CCG,South East London,London,1.37
Bexley 006D,NHS Bexley CCG,South East London,London,2.06
Bexley 002B,NHS Bexley CCG,South East London,London,0.69
Bexley 004D,NHS Bexley CCG,South East London,London,1.71
Bexley 005A,NHS Bexley CCG,South East London,London,2.4
Bexley 003B,NHS Bexley CCG,South East London,London,1.37
Bexley 005B,NHS Bexley CCG,South East London,London,2.06
Bexley 006E,NHS Bexley CCG,South East London,London,1.03
Bexley 008C,NHS Bexley CCG,South East London,London,2.4
Bexley 001A,NHS Bexley CCG,South East London,London,1.03
Bexley 002D,NHS Bexley CCG,South East London,London,1.71
Bexley 002E,NHS Bexley CCG,South East London,London,1.71
